symbol,direction,entry_time,exit_time,entry_price,exit_price,sl,tp1,tp2,exit_reason,pnl_pct,rr_achieved,duration_bars,duration_hours,position_size,pnl_try,portfolio_after
AKBNK,SELL,2025-10-06T08:00:00+00:00,2025-10-14T08:00:00+00:00,59.45,54.7831,61.2001,56.5332,54.7831,TP2,7.8501,2.6667,18,72,620.3147,2894.95,111456.23
AKBNK,SELL,2025-10-17T04:00:00+00:00,2025-10-20T04:00:00+00:00,53.7,55.4989,55.4989,50.7018,48.9028,SL,-3.35,-1.0,3,12,619.5799,-1114.56,110341.66
AKBNK,BUY,2025-11-04T04:00:00+00:00,2025-11-07T08:00:00+00:00,61.85,59.9514,59.9514,65.0143,66.913,SL,-3.0697,-1.0,10,40,581.1738,-1103.42,109238.25
AKBNK,BUY,2025-11-07T08:00:00+00:00,2025-11-11T08:00:00+00:00,61.1,59.3572,59.3572,64.0047,65.7476,SL,-2.8524,-1.0,6,24,626.7974,-1092.38,108145.86
AKBNK,SELL,2025-11-11T08:00:00+00:00,2025-11-19T04:00:00+00:00,58.1,59.933,59.933,55.045,53.212,SL,-3.1549,-1.0,17,68,589.9938,-1081.46,107064.41
AKBNK,BUY,2025-11-19T08:00:00+00:00,2025-11-27T08:00:00+00:00,61.2,64.25,59.5548,63.942,65.5872,EXPIRED,4.9837,1.8539,18,72,650.7683,1984.84,109049.25
AKBNK,BUY,2025-11-27T08:00:00+00:00,2025-12-04T12:00:00+00:00,64.25,64.25,62.783,66.695,68.162,TP1_BE,0.0,0.0,16,64,743.3487,0.0,109049.25
ASELS,BUY,2025-12-01T04:00:00+00:00,2025-12-09T04:00:00+00:00,186.5,193.9,182.2635,193.5608,197.7973,EXPIRED,3.9678,1.7467,18,72,257.4041,1904.79,110954.04
ASELS,BUY,2025-12-09T04:00:00+00:00,2025-12-10T04:00:00+00:00,193.9,204.6956,189.8516,200.6473,204.6956,TP2,5.5676,2.6667,3,12,274.0689,2958.74,113912.78
AKBNK,BUY,2025-12-08T08:00:00+00:00,2025-12-16T08:00:00+00:00,69.05,70.65,67.2364,72.0726,73.8862,EXPIRED,2.3172,0.8822,18,72,628.1031,1004.96,114917.74
ASELS,BUY,2025-12-22T08:00:00+00:00,2025-12-24T08:00:00+00:00,213.0,227.5993,207.5253,222.1246,227.5993,TP2,6.8541,2.6667,6,24,209.9069,3064.49,117982.24
AKBNK,BUY,2025-12-17T04:00:00+00:00,2025-12-24T08:00:00+00:00,70.75,70.75,69.2353,73.2745,74.7892,TP1_BE,0.0,0.0,16,64,778.9149,0.0,117982.24
ASELS,BUY,2025-12-31T04:00:00+00:00,2026-01-06T12:00:00+00:00,232.7,250.5105,226.021,243.8316,250.5105,TP2,7.6539,2.6667,11,44,176.6466,3146.16,121128.4
AKBNK,BUY,2026-01-05T04:00:00+00:00,2026-01-08T08:00:00+00:00,73.65,71.9773,71.9773,76.4378,78.1105,SL,-2.2711,-1.0,10,40,724.149,-1211.28,119917.12
AKBNK,BUY,2026-01-12T04:00:00+00:00,2026-01-12T12:00:00+00:00,74.95,73.2386,73.2386,77.8023,79.5137,SL,-2.2834,-1.0,2,8,700.696,-1199.17,118717.94
ASELS,BUY,2026-01-09T12:00:00+00:00,2026-01-16T04:00:00+00:00,279.5,304.79,270.0163,295.3062,304.79,TP2,9.0483,2.6667,13,52,125.181,3165.83,121883.77
AKBNK,BUY,2026-01-16T08:00:00+00:00,2026-01-21T12:00:00+00:00,74.85,79.5949,73.0707,77.8156,79.5949,TP2,6.3392,2.6667,10,40,685.0097,3250.3,125134.08
AKBNK,BUY,2026-01-27T04:00:00+00:00,2026-01-28T12:00:00+00:00,80.05,85.3694,78.0552,83.3746,85.3694,TP2,6.6451,2.6667,5,20,627.3014,3336.87,128470.94
AKBNK,BUY,2026-02-02T08:00:00+00:00,2026-02-03T04:00:00+00:00,92.8,89.5705,89.5705,98.1826,101.4121,SL,-3.4801,-1.0,2,8,397.8044,-1284.71,127186.23
AKBNK,BUY,2026-02-03T04:00:00+00:00,2026-02-04T08:00:00+00:00,89.8,86.2722,86.2722,95.6796,99.2074,SL,-3.9285,-1.0,4,16,360.5256,-1271.86,125914.37
AKBNK,SELL,2026-02-10T04:00:00+00:00,2026-02-12T08:00:00+00:00,84.95,87.5781,87.5781,80.5698,77.9417,SL,-3.0937,-1.0,7,28,479.108,-1259.14,124655.23
ASELS,BUY,2026-02-18T08:00:00+00:00,2026-02-19T12:00:00+00:00,304.75,304.75,296.2919,318.8469,327.305,TP1_BE,0.0,0.0,4,16,147.3797,0.0,124655.23
AKBNK,BUY,2026-02-12T08:00:00+00:00,2026-02-20T04:00:00+00:00,89.05,86.3834,86.3834,93.4944,96.161,SL,-2.9945,-1.0,17,68,467.4688,-1246.55,123408.67
AKBNK,BUY,2026-02-23T12:00:00+00:00,2026-03-02T04:00:00+00:00,90.4,87.8021,87.8021,94.7298,97.3277,SL,-2.8738,-1.0,13,52,475.0324,-1234.09,122174.59
ASELS,BUY,2026-02-27T08:00:00+00:00,2026-03-03T12:00:00+00:00,321.25,321.25,311.461,337.5649,347.3539,TP1_BE,0.0,0.0,7,28,124.808,0.0,122174.59
AKBNK,SELL,2026-03-02T08:00:00+00:00,2026-03-06T12:00:00+00:00,85.0,76.2118,88.2956,79.5074,76.2118,TP2,10.339,2.6667,13,52,370.7203,3257.96,125432.55
ASELS,BUY,2026-03-04T04:00:00+00:00,2026-03-09T04:00:00+00:00,327.75,327.75,314.815,349.3084,362.2434,TP1_BE,0.0,0.0,9,36,96.9714,0.0,125432.55
ASELS,BUY,2026-03-23T04:00:00+00:00,2026-03-26T08:00:00+00:00,349.5,336.3233,336.3233,371.4612,384.6378,SL,-3.7702,-1.0,10,40,95.1927,-1254.33,124178.23
AKBNK,SELL,2026-03-24T08:00:00+00:00,2026-04-01T08:00:00+00:00,70.85,67.9,74.116,65.4067,62.1407,EXPIRED,4.1637,0.9032,18,72,380.215,1121.63,125299.86
ASELS,SELL,2026-04-01T08:00:00+00:00,2026-04-02T12:00:00+00:00,321.25,331.5247,331.5247,304.1255,293.8507,SL,-3.1984,-1.0,4,16,121.9499,-1253.0,124046.86
AKBNK,BUY,2026-04-07T12:00:00+00:00,2026-04-08T08:00:00+00:00,69.1,74.6205,67.0298,72.5503,74.6205,TP2,7.9892,2.6667,2,8,599.2023,3307.9,127354.76
ASELS,BUY,2026-04-08T04:00:00+00:00,2026-04-10T04:00:00+00:00,353.75,382.802,342.8555,371.9075,382.802,TP2,8.2126,2.6667,6,24,116.8982,3396.13,130750.89
AKBNK,BUY,2026-04-08T08:00:00+00:00,2026-04-16T08:00:00+00:00,76.15,78.8,73.6257,80.3572,82.8815,EXPIRED,3.48,1.0498,18,72,517.9689,1372.62,132123.5
AKBNK,BUY,2026-04-21T08:00:00+00:00,2026-04-22T12:00:00+00:00,82.0,79.4851,79.4851,86.1914,88.7063,SL,-3.0669,-1.0,4,16,525.3628,-1321.24,130802.27
ASELS,BUY,2026-04-28T08:00:00+00:00,2026-04-30T12:00:00+00:00,420.0,422.5,407.2922,441.1797,453.8876,EXPIRED,0.5952,0.1967,7,28,102.9307,257.33,131059.59
