symbol,direction,entry_time,exit_time,entry_price,exit_price,sl,tp1,tp2,exit_reason,pnl_pct,rr_achieved,duration_bars,duration_hours,tp2_mult
AKBNK,BUY,2026-04-08T08:00:00+00:00,2026-04-16T08:00:00+00:00,76.15,78.8,73.6257,80.3572,82.8815,EXPIRED,3.48,1.0498,18,72,4.0
AKBNK,BUY,2026-04-21T08:00:00+00:00,2026-04-22T12:00:00+00:00,82.0,79.4851,79.4851,86.1914,88.7063,SL,-3.0669,-1.0,4,16,4.0
SAHOL,BUY,2024-12-31T08:00:00+00:00,2024-12-31T12:00:00+00:00,99.45,96.8196,96.8196,103.8341,106.4645,SL,-2.645,-1.0,1,4,4.0
SAHOL,BUY,2025-01-03T08:00:00+00:00,2025-01-13T08:00:00+00:00,102.4,99.3234,99.3234,107.5277,110.6044,SL,-3.0045,-1.0,18,72,4.0
SAHOL,BUY,2025-01-23T08:00:00+00:00,2025-01-27T04:00:00+00:00,102.8,100.4088,100.4088,106.7854,109.1766,SL,-2.3261,-1.0,5,20,4.0
SAHOL,BUY,2025-01-28T12:00:00+00:00,2025-01-31T08:00:00+00:00,103.9,101.5705,101.5705,107.7826,110.1121,SL,-2.2421,-1.0,8,32,4.0
SAHOL,BUY,2025-02-12T08:00:00+00:00,2025-02-20T04:00:00+00:00,98.4,98.4,96.1726,102.1123,104.3396,TP1_BE,0.0,0.0,17,68,4.0
SAHOL,BUY,2025-03-03T12:00:00+00:00,2025-03-04T04:00:00+00:00,102.0,98.8803,98.8803,107.1996,110.3193,SL,-3.0586,-1.0,1,4,4.0
SAHOL,BUY,2025-03-10T08:00:00+00:00,2025-03-18T08:00:00+00:00,106.3,106.7,102.8024,112.1293,115.6269,EXPIRED,0.3763,0.1144,18,72,4.0
SAHOL,SELL,2025-03-25T12:00:00+00:00,2025-04-04T12:00:00+00:00,86.25,79.5,90.9056,78.4907,73.8351,EXPIRED,7.8261,1.4499,18,72,4.0
SAHOL,SELL,2025-04-14T04:00:00+00:00,2025-04-22T04:00:00+00:00,78.6,76.7,81.3786,73.969,71.1904,EXPIRED,2.4173,0.6838,18,72,4.0
SAHOL,SELL,2025-04-30T12:00:00+00:00,2025-05-02T08:00:00+00:00,73.0,75.0662,75.0662,69.5563,67.49,SL,-2.8305,-1.0,2,8,4.0
SAHOL,SELL,2025-05-05T04:00:00+00:00,2025-05-12T04:00:00+00:00,73.75,75.8109,75.8109,70.3152,68.2543,SL,-2.7944,-1.0,15,60,4.0
SAHOL,SELL,2025-05-20T08:00:00+00:00,2025-05-28T08:00:00+00:00,78.55,77.45,80.6264,75.0894,73.013,EXPIRED,1.4004,0.5298,18,72,4.0
SAHOL,SELL,2025-06-18T08:00:00+00:00,2025-06-24T04:00:00+00:00,79.1,81.4708,81.4708,75.1487,72.7779,SL,-2.9972,-1.0,11,44,4.0
SAHOL,BUY,2025-06-30T04:00:00+00:00,2025-07-01T04:00:00+00:00,84.85,91.6756,82.2904,89.116,91.6756,TP2,8.0444,2.6667,3,12,4.0
SAHOL,BUY,2025-07-04T08:00:00+00:00,2025-07-08T08:00:00+00:00,93.0,90.1351,90.1351,97.7749,100.6398,SL,-3.0806,-1.0,6,24,4.0
SAHOL,SELL,2025-07-14T04:00:00+00:00,2025-07-17T12:00:00+00:00,89.4,92.0379,92.0379,85.0035,82.3655,SL,-2.9507,-1.0,8,32,4.0
SAHOL,SELL,2025-07-29T12:00:00+00:00,2025-07-30T08:00:00+00:00,91.45,93.3452,93.3452,88.2914,86.3962,SL,-2.0724,-1.0,2,8,4.0
SAHOL,BUY,2025-07-30T12:00:00+00:00,2025-08-07T12:00:00+00:00,93.5,97.2,91.5399,96.7669,98.727,EXPIRED,3.9572,1.8876,18,72,4.0
SAHOL,BUY,2025-08-13T04:00:00+00:00,2025-08-14T04:00:00+00:00,98.9,97.1288,97.1288,101.852,103.6232,SL,-1.7909,-1.0,3,12,4.0
SAHOL,BUY,2025-08-26T08:00:00+00:00,2025-08-27T08:00:00+00:00,98.3,96.5145,96.5145,101.2758,103.0612,SL,-1.8163,-1.0,3,12,4.0
SAHOL,BUY,2025-09-15T08:00:00+00:00,2025-09-23T08:00:00+00:00,91.95,91.1,88.9008,97.0321,100.0813,EXPIRED,-0.9244,-0.2788,18,72,4.0
SAHOL,SELL,2025-09-29T08:00:00+00:00,2025-10-07T08:00:00+00:00,87.35,84.1,89.8848,83.1254,80.5906,EXPIRED,3.7207,1.2822,18,72,4.0
SAHOL,SELL,2025-10-09T12:00:00+00:00,2025-10-17T04:00:00+00:00,81.95,75.8126,84.2515,78.1141,75.8126,TP2,7.4892,2.6667,16,64,4.0
SAHOL,SELL,2025-10-20T12:00:00+00:00,2025-10-24T04:00:00+00:00,77.4,79.9004,79.9004,73.2326,70.7322,SL,-3.2305,-1.0,10,40,4.0
SAHOL,SELL,2025-11-11T08:00:00+00:00,2025-11-18T04:00:00+00:00,74.75,77.031,77.031,70.9484,68.6674,SL,-3.0515,-1.0,14,56,4.0
SAHOL,BUY,2025-11-20T12:00:00+00:00,2025-11-28T12:00:00+00:00,79.35,82.0,77.505,82.4249,84.2699,EXPIRED,3.3396,1.4363,18,72,4.0
SAHOL,SELL,2025-12-25T12:00:00+00:00,2026-01-02T04:00:00+00:00,84.7,86.4256,86.4256,81.824,80.0985,SL,-2.0373,-1.0,13,52,4.0
SAHOL,BUY,2026-01-02T08:00:00+00:00,2026-01-07T04:00:00+00:00,87.15,91.9954,85.333,90.1784,91.9954,TP2,5.5598,2.6667,8,32,4.0
SAHOL,BUY,2026-01-07T12:00:00+00:00,2026-01-15T12:00:00+00:00,90.4,94.2,88.389,93.7517,95.7627,EXPIRED,4.2035,1.8896,18,72,4.0
SAHOL,BUY,2026-01-15T12:00:00+00:00,2026-01-23T12:00:00+00:00,94.2,97.3,91.877,98.0717,100.3948,EXPIRED,3.2909,1.3345,18,72,4.0
SAHOL,BUY,2026-01-27T08:00:00+00:00,2026-01-29T08:00:00+00:00,100.7,107.5424,98.1341,104.9765,107.5424,TP2,6.7949,2.6667,6,24,4.0
SAHOL,BUY,2026-02-02T08:00:00+00:00,2026-02-05T04:00:00+00:00,109.7,105.7142,105.7142,116.3429,120.3287,SL,-3.6333,-1.0,8,32,4.0
SAHOL,BUY,2026-02-17T08:00:00+00:00,2026-02-19T04:00:00+00:00,111.2,107.8721,107.8721,116.7465,120.0744,SL,-2.9927,-1.0,5,20,4.0
SAHOL,SELL,2026-02-25T08:00:00+00:00,2026-03-02T08:00:00+00:00,103.5,94.7456,106.7829,98.0285,94.7456,TP2,8.4583,2.6667,9,36,4.0
SAHOL,BUY,2026-04-02T12:00:00+00:00,2026-04-08T08:00:00+00:00,90.1,96.2311,87.8008,93.9319,96.2311,TP2,6.8048,2.6667,11,44,4.0
SAHOL,BUY,2026-04-08T08:00:00+00:00,2026-04-16T08:00:00+00:00,96.75,100.6,93.8662,101.5564,104.4402,EXPIRED,3.9793,1.335,18,72,4.0
SAHOL,SELL,2026-04-28T12:00:00+00:00,2026-04-30T12:00:00+00:00,96.45,95.75,98.8796,92.4007,89.9711,EXPIRED,0.7258,0.2881,6,24,4.0
